G filename,H filename,Number of nodes,Added edges perncetage,TP,FP,FN,TN,Accuracy,Precision,Negative predictive value,Recall,True negative rate,F1-Score
G_100_0,H_100_0,100,0,90,0,9,0,0.9091,1.0,0.0,0.9091,0,0.9524
G_100_50,H_100_50,100,50,70,30,29,19,0.6014,0.7,0.3958333333333333,0.7071,0.3877551020408163,0.7035
G_100_100,H_100_100,100,100,58,65,41,34,0.4646,0.4715,0.4533333333333333,0.5859,0.3434343434343434,0.5225
G_100_600,H_100_600,100,600,47,247,52,347,0.5685,0.1599,0.8696741854636592,0.4747,0.5841750841750841,0.2392
G_100_1100,H_100_1100,100,1100,19,347,80,742,0.6406,0.0519,0.902676399026764,0.1919,0.6813590449954087,0.0817
G_500_0,H_500_0,500,0,476,0,23,0,0.9539,1.0,0.0,0.9539,0,0.9764
G_500_50,H_500_50,500,50,364,178,135,71,0.5816,0.6716,0.3446601941747573,0.7295,0.285140562248996,0.6993
G_500_100,H_500_100,500,100,321,302,178,197,0.519,0.5152,0.5253333333333333,0.6433,0.39478957915831664,0.5722
G_500_600,H_500_600,500,600,184,1031,315,1963,0.6147,0.1514,0.8617208077260755,0.3687,0.6556446225784903,0.2147
G_500_1100,H_500_1100,500,1100,159,1633,340,3856,0.6705,0.0887,0.9189704480457579,0.3186,0.7024959008926944,0.1388
G_1000_0,H_1000_0,1000,0,969,0,30,0,0.97,1.0,0.0,0.97,0,0.9848
G_1000_50,H_1000_50,1000,50,752,345,247,154,0.6048,0.6855,0.38403990024937656,0.7528,0.30861723446893785,0.7176
G_1000_100,H_1000_100,1000,100,589,613,410,386,0.488,0.49,0.4849246231155779,0.5896,0.3863863863863864,0.5352
G_1000_600,H_1000_600,1000,600,353,2125,646,3869,0.6037,0.1425,0.8569213732004429,0.3534,0.6454788121454789,0.203
G_1000_1100,H_1000_1100,1000,1100,293,3169,706,7820,0.6768,0.0846,0.9171944639924936,0.2933,0.7116207116207116,0.1314
